address	balance	code_hash	data_hash	jetton	last_transaction_lt	owner	owner_friendly	wallet_friendly
0:70FF846A67B86D553BC1BD84F45F591E406E506D8ACF5E216683D294111335D5	5358179978317456	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	aXLFyNqpE0vifOk86ToEMZuhxzMxWutLHESUOdgbK88=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51634802000001	0:B02025E2A1AAC4B12007AB90DEFB1996DFF381F6B25E5CEA61AEF1AEE999787D	UQCwICXioarEsSAHq5De-xmW3_OB9rJeXOphrvGu6Zl4fX--	EQBw_4RqZ7htVTvBvYT0X1keQG5QbYrPXiFmg9KUERM11XuA
0:D28E7520BFA583F5B6EE43D5556D0E57B5D870562263B91837641F40712234AA	5273674566326477	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Ymnvq/PDo4Ax3Ng9h5zcqc+wTPXJYwzbk4coCRZoG08=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51213238000001	0:5DB750985ADC16E91FF445ADFC6926D4DDC9131D3022E40455B42BA910B9EB37	UQBdt1CYWtwW6R_0Ra38aSbU3ckTHTAi5ARVtCupELnrN1s9	EQDSjnUgv6WD9bbuQ9VVbQ5XtdhwViJjuRg3ZB9AcSI0qjC9
0:D02979F5F66282414F136157C8B898472414AE75B4FFA9BF13C4404B2461F291	5121314261120482	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Q22zwbNH1bk56Iq3nQGtECL8NLVR51tPYahuNJ6NJp4=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51149963000001	0:94FAF8FFF9081D2A4EC109C02C72E68D7C366C52F0E42E7490E325A7C3F3C8C0	UQCU-vj_-QgdKk7BCcAscuaNfDZsUvDkLnSQ4yWnw_PIwPsW	EQDQKXn19mKCQU8TYVfIuJhHJBSudbT_qb8TxEBLJGHykYX5
0:466F3C6DB2455CC8C25F288F96562B91D4B1379248ABB846442E1BAFCA4330FE	5119947048673139	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	tdASEKop5y3TR/43X7GnzNXjXOzdWJwxl0CKJlKDsx8=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51242221000001	0:D9BADF560750C8D2BA4804C4FF4D48BA3D447B881187308C260D12E5E037E911	UQDZut9WB1DI0rpIBMT_TUi6PUR7iBGHMIwmDRLl4DfpERmd	EQBGbzxtskVcyMJfKI-WViuR1LE3kkiruEZELhuvykMw_m-k
0:832C6DD89C9F6CE9C73272A2B1F9090D5C8B99BEE5334DF1A3C156C5F33429AF	5000363534007705	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	1QIZ/Hm2kW778U+p0M1o5XUVjJkyKFLvBLMg2oVzBRw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51459957000001	0:229CFC923B0998266FBB00D4A881208D60CCB24C4CEE330725968C3D8EEE6C14	UQAinPySOwmYJm-7ANSogSCNYMyyTEzuMwcllow9ju5sFMO1	EQCDLG3YnJ9s6ccycqKx-QkNXIuZvuUzTfGjwVbF8zQpr026
0:C37EFAF099EE43EFEE828519F747C4AD08721859DA248BF30AF6EB3DE88FA63F	4773683656192165	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	Kn0MtPtSQTw09uVGGBFFT4hq7KiVpaiddwI2VkvPy+E=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51242258000001	0:AA690E130617A8F5D6C3C32477CBEF53734A85978C34BC71E0870BFF64BE8670	UQCqaQ4TBheo9dbDwyR3y-9Tc0qFl4w0vHHghwv_ZL6GcEOI	EQDDfvrwme5D7-6ChRn3R8StCHIYWdoki_MK9us96I-mP9v9
0:462D057AE3F149EF6DFB36D975839A867FA1B77CE7D6A41B96E791782570C160	4412884398420284	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	yND0+yEPMc//CszciGJ7r9xfbwT8yVnHVINy8xmQdjM=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51508925000001	0:C0DF94ECF894C4B6E2D393B221BEBC4A0777623E8317D02CA7A839BE6D886A5E	UQDA35Ts-JTEtuLTk7IhvrxKB3diPoMX0CynqDm-bYhqXlnZ	EQBGLQV64_FJ7237Ntl1g5qGf6G3fOfWpBuW55F4JXDBYNwM
0:CE52C247F95AD830800B49EF19FA6EE801AED62A68E03DBF085944359B7231D4	4247906373494464	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	FjAfpmx0+s9sHf9CQQdLc09hzSMJcKcA4Qf+kY72egc=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51125451000001	0:FCAAB0CA30B38F3B97C8C8C5DA7C860E3991E4448CC26388CACBFF5C80974753	UQD8qrDKMLOPO5fIyMXafIYOOZHkRIzCY4jKy_9cgJdHUzLp	EQDOUsJH-VrYMIALSe8Z-m7oAa7WKmjgPb8IWUQ1m3Ix1NhO
0:B8861875FC63F94000F617D770A7E4F7FD24D01FE81433A9B6AEE778C4A3C9F0	4051374358481293	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	gog7DY3nLW7Sligoyu1Bbl65ZNZZHBSpA9i+52MvuPs=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51154704000001	0:50DC49F74695424500204F9061DFD50A8B9868B9CCAA49074D008A800B046EBE	UQBQ3En3RpVCRQAgT5Bh39UKi5houcyqSQdNAIqACwRuvo8A	EQC4hhh1_GP5QAD2F9dwp-T3_STQH-gUM6m2rud4xKPJ8Mlp
0:67CD3E47C4F91D756E146325B43C8DD4429344610E413E9026FB2897D54E0D92	3921872960966186	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	mRIofwoluuQ7gik3SlqhbFxEw/+/Am+Ruut1hfDpR4c=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51719786000001	0:710F18B4FD5C7E864FC162F9FA954CE90863C545CFE588ED8A30E41A32A448F3	UQBxDxi0_Vx-hk_BYvn6lUzpCGPFRc_liO2KMOQaMqRI82Iz	EQBnzT5HxPkddW4UYyW0PI3UQpNEYQ5BPpAm-yiX1U4NkoHb
0:532EDAD81C450DCFEFCF15BD7C8AACFA148C999382E69F2D5854BB9D528EB476	3903271271067355	nbIhmy8qr5opEioRY/o0LHTdpMh5J6myPvt4nCiNuFc=	DwwMjohyQ7TVjlm5UbmwuMoeOa5OC4p08p0dywExPEw=	0:BE387C6123DAF9A2329FE9030B163850ACAA1AC0DD6D8611C50AF22620D85F2B	51829962000001	0:2EAD65B4ADFF86DEE2510BB438C7519C26D53D9B0A45DA04034EA8698FC31D66	UQAurWW0rf-G3uJRC7Q4x1GcJtU9mwpF2gQDTqhpj8MdZgmE	EQBTLtrYHEUNz-_PFb18iqz6FIyZk4Lmny1YVLudUo60dhib
